"Status";"Gas Day Start (status at 6AM  CEST)";"Gas Day End";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)"
"E";"2026-05-22";"2026-05-23";"423.9215";"37.45";"0.28";"3249.22";"147.6";"1131.8845";"12254.73";"20033.65";"968.8191";"168.2746"
"C";"2026-05-21";"2026-05-22";"420.8058";"37.18";"0.19";"2610.63";"424.1";"1131.8845";"12254.69";"20033.72";"968.3567";"168.737"
"E";"2026-05-20";"2026-05-21";"418.635";"36.99";"0.11";"1923.93";"688.4";"1131.8845";"12241.16";"19988.24";"1008.7888";"126.1225"
"C";"2026-05-19";"2026-05-20";"417.3713";"36.87";"0.15";"2278.08";"472.6";"1131.8845";"12232.81";"19960.29";"1008.7937";"126.1176"
"E";"2026-05-18";"2026-05-19";"415.6693";"36.72";"0.17";"2112.99";"418.7";"1131.8845";"12253.3";"20036.15";"1008.8344";"126.0769"
"E";"2026-05-17";"2026-05-18";"413.7867";"36.56";"0.22";"2716.65";"246.7";"1131.8845";"12253.76";"20035.35";"1008.8367";"126.0746"
"E";"2026-05-16";"2026-05-17";"411.3236";"36.34";"0.2";"2580.6";"280.7";"1131.8845";"12253.97";"20034.99";"1008.8375";"126.0737"
"E";"2026-05-15";"2026-05-16";"409.0572";"36.14";"0.16";"2227.12";"465.8";"1131.8845";"12254.28";"20034.43";"1008.8414";"126.0699"
"E";"2026-05-14";"2026-05-15";"407.2972";"35.98";"0.15";"2147.92";"435.5";"1131.8845";"12253.91";"20035.09";"998.1758";"136.7354"
"C";"2026-05-13";"2026-05-14";"405.5911";"35.83";"0.12";"2167.97";"775.5";"1131.8845";"12242.63";"20001.63";"998.207";"136.7042"
"C";"2026-05-12";"2026-05-13";"404.199";"35.71";"0.15";"2176.95";"525.5";"1131.8845";"12252.16";"20038.16";"998.2071";"136.7041"
"C";"2026-05-11";"2026-05-12";"402.5442";"35.56";"0.22";"2673.24";"239";"1131.8845";"12252.3";"20037.91";"997.974";"136.9373"
"C";"2026-05-10";"2026-05-11";"400.0871";"35.35";"0.31";"3665.59";"135.9";"1131.8845";"12252.54";"20037.49";"997.9716";"136.9397"
"C";"2026-05-09";"2026-05-10";"396.5835";"35.04";"0.3";"3556.06";"107.5";"1131.8689";"12250.78";"20036.7";"998.6326";"136.3186"
"C";"2026-05-08";"2026-05-09";"393.1503";"34.73";"0.23";"2716.31";"134.4";"1132.1539";"12251";"20036.32";"998.7863";"136.1434"
"C";"2026-05-07";"2026-05-08";"390.5802";"34.5";"0.12";"1993.7";"655.4";"1132.1539";"12226.34";"19951.81";"998.2166";"137.1737"
"C";"2026-05-06";"2026-05-07";"389.2511";"34.38";"0.14";"2087.59";"491.5";"1132.1539";"12225.73";"19952.88";"998.3083";"136.7929"
"C";"2026-05-05";"2026-05-06";"387.6735";"34.24";"0.19";"2965.22";"589.5";"1132.1539";"12224.94";"19954.26";"971.5272";"132.4047"
"C";"2026-05-04";"2026-05-05";"385.5497";"34.05";"0.28";"3238.87";"138.7";"1132.1539";"12249.16";"20039.54";"971.7844";"132.1473"
"E";"2026-05-03";"2026-05-04";"382.4137";"33.78";"0.35";"4091";"78.5";"1132.1209";"12249.86";"20038.32";"971.5553";"132.3435"
"E";"2026-05-02";"2026-05-03";"378.4112";"33.42";"0.36";"4183.65";"63.9";"1132.1209";"12250.94";"20036.43";"971.5887";"132.3101"
"E";"2026-05-01";"2026-05-02";"374.2962";"33.06";"0.32";"3920.54";"85.2";"1132.1209";"12258.14";"20044.26";"971.4705";"132.4282"
"E";"2026-04-30";"2026-05-01";"370.7253";"32.73";"0.25";"3016.15";"259";"1132.5809";"12228.4";"20084.8";"979.1995";"124.7278"
"E";"2026-04-29";"2026-04-30";"367.9374";"32.49";"0.25";"3069.87";"191";"1132.5795";"12240.89";"20026.54";"979.2224";"124.7034"
"E";"2026-04-28";"2026-04-29";"365.0765";"32.23";"0.26";"3124.58";"201.3";"1132.5795";"12251.88";"20060.5";"1085.2741";"19.1124"
"E";"2026-04-27";"2026-04-28";"362.1359";"31.97";"0.22";"2805.16";"295.2";"1132.5795";"12252.24";"20059.86";"979.2418";"125.1447"
"E";"2026-04-26";"2026-04-27";"359.6205";"31.75";"0.28";"3358.52";"193.8";"1132.5795";"12252.73";"20059.01";"979.2304";"125.156"
"E";"2026-04-25";"2026-04-26";"356.4583";"31.47";"0.29";"3447.66";"201.7";"1132.5795";"12252.87";"20058.75";"978.7181";"125.6681"
"E";"2026-04-24";"2026-04-25";"353.2149";"31.19";"0.23";"2841.62";"241.6";"1132.5795";"12253.15";"20058.27";"978.8257";"125.5606"
